# ctau,m1,m0,ms,eff_lowet,eff_highet,eff_lowet_error,eff_highet_error
1.000e-01,1.220e+02,1.020e+02,2.500e+02,3.517e-10,1.392e-09,3.517e-10,1.127e-09
1.166e-01,1.220e+02,1.020e+02,2.500e+02,3.517e-10,1.392e-09,3.517e-10,1.127e-09
1.359e-01,1.220e+02,1.020e+02,2.500e+02,3.517e-10,1.392e-09,3.517e-10,1.127e-09
1.585e-01,1.220e+02,1.020e+02,2.500e+02,3.517e-10,1.392e-09,3.517e-10,1.127e-09
1.848e-01,1.220e+02,1.020e+02,2.500e+02,3.517e-10,1.392e-09,3.517e-10,1.127e-09
2.154e-01,1.220e+02,1.020e+02,2.500e+02,3.517e-10,1.392e-09,3.517e-10,1.127e-09
2.512e-01,1.220e+02,1.020e+02,2.500e+02,1.030e-09,1.392e-09,7.639e-10,1.127e-09
2.929e-01,1.220e+02,1.020e+02,2.500e+02,1.120e-07,1.259e-06,1.116e-07,1.258e-06
3.415e-01,1.220e+02,1.020e+02,2.500e+02,8.286e-08,9.513e-07,8.251e-08,9.502e-07
3.981e-01,1.220e+02,1.020e+02,2.500e+02,3.517e-10,1.084e-09,3.517e-10,1.084e-09
4.642e-01,1.220e+02,1.020e+02,2.500e+02,8.286e-08,9.513e-07,8.251e-08,9.502e-07
5.412e-01,1.220e+02,1.020e+02,2.500e+02,3.517e-10,1.084e-09,3.517e-10,1.084e-09
6.310e-01,1.220e+02,1.020e+02,2.500e+02,1.271e-09,1.084e-09,9.847e-10,1.084e-09
7.356e-01,1.220e+02,1.020e+02,2.500e+02,1.962e-08,8.302e-08,1.872e-08,8.302e-08
8.577e-01,1.220e+02,1.020e+02,2.500e+02,6.967e-08,1.189e-07,4.307e-08,9.044e-08
1.000e+00,1.220e+02,1.020e+02,2.500e+02,5.203e-09,2.883e-09,4.242e-09,2.101e-09
1.166e+00,1.220e+02,1.020e+02,2.500e+02,4.399e-07,1.273e-07,4.187e-07,9.234e-08
1.359e+00,1.220e+02,1.020e+02,2.500e+02,1.020e-08,0.000e+00,1.020e-08,0.000e+00
1.585e+00,1.220e+02,1.020e+02,2.500e+02,7.200e-08,0.000e+00,5.966e-08,0.000e+00
1.848e+00,1.220e+02,1.020e+02,2.500e+02,5.825e-08,0.000e+00,5.825e-08,0.000e+00
2.154e+00,1.220e+02,1.020e+02,2.500e+02,1.417e-08,3.143e-09,1.084e-08,2.245e-09
2.512e+00,1.220e+02,1.020e+02,2.500e+02,3.512e-08,0.000e+00,3.512e-08,0.000e+00
2.929e+00,1.220e+02,1.020e+02,2.500e+02,2.566e-08,0.000e+00,1.815e-08,0.000e+00
3.415e+00,1.220e+02,1.020e+02,2.500e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
3.981e+00,1.220e+02,1.020e+02,2.500e+02,1.283e-08,0.000e+00,1.283e-08,0.000e+00
4.642e+00,1.220e+02,1.020e+02,2.500e+02,1.283e-08,0.000e+00,1.283e-08,0.000e+00
5.412e+00,1.220e+02,1.020e+02,2.500e+02,2.566e-08,0.000e+00,1.815e-08,0.000e+00
6.310e+00,1.220e+02,1.020e+02,2.500e+02,6.666e-08,3.586e-08,2.990e-08,3.586e-08
7.356e+00,1.220e+02,1.020e+02,2.500e+02,7.435e-08,1.739e-09,3.045e-08,1.739e-09
8.577e+00,1.220e+02,1.020e+02,2.500e+02,7.435e-08,0.000e+00,3.045e-08,0.000e+00
1.000e+01,1.220e+02,1.020e+02,2.500e+02,1.026e-07,0.000e+00,3.629e-08,0.000e+00
1.000e-01,2.440e+02,2.240e+02,5.000e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.166e-01,2.440e+02,2.240e+02,5.000e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.359e-01,2.440e+02,2.240e+02,5.000e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.585e-01,2.440e+02,2.240e+02,5.000e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
1.848e-01,2.440e+02,2.240e+02,5.000e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.154e-01,2.440e+02,2.240e+02,5.000e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
2.512e-01,2.440e+02,2.240e+02,5.000e+02,0.000e+00,1.977e-09,0.000e+00,1.977e-09
2.929e-01,2.440e+02,2.240e+02,5.000e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
3.415e-01,2.440e+02,2.240e+02,5.000e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
3.981e-01,2.440e+02,2.240e+02,5.000e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
4.642e-01,2.440e+02,2.240e+02,5.000e+02,4.173e-09,1.799e-09,4.173e-09,1.799e-09
5.412e-01,2.440e+02,2.240e+02,5.000e+02,1.060e-08,5.039e-09,1.060e-08,5.039e-09
6.310e-01,2.440e+02,2.240e+02,5.000e+02,3.630e-08,9.098e-09,3.630e-08,9.098e-09
7.356e-01,2.440e+02,2.240e+02,5.000e+02,9.197e-10,0.000e+00,9.197e-10,0.000e+00
8.577e-01,2.440e+02,2.240e+02,5.000e+02,1.890e-07,0.000e+00,1.431e-07,0.000e+00
1.000e+00,2.440e+02,2.240e+02,5.000e+02,3.564e-08,1.977e-09,3.564e-08,1.977e-09
1.166e+00,2.440e+02,2.240e+02,5.000e+02,0.000e+00,0.000e+00,0.000e+00,0.000e+00
