# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_12/ddmH_1500_734_534_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,1.018e-05
1.076e-01,0.000e+00,1.213e-05
1.158e-01,0.000e+00,9.829e-06
1.247e-01,0.000e+00,9.829e-06
1.342e-01,0.000e+00,9.829e-06
1.444e-01,0.000e+00,1.168e-05
1.554e-01,0.000e+00,1.232e-05
1.673e-01,0.000e+00,3.553e-05
1.800e-01,0.000e+00,1.816e-05
1.937e-01,0.000e+00,2.873e-05
2.085e-01,0.000e+00,3.453e-05
2.244e-01,0.000e+00,5.330e-05
2.415e-01,0.000e+00,6.148e-05
2.600e-01,0.000e+00,7.287e-05
2.798e-01,0.000e+00,8.622e-05
3.011e-01,0.000e+00,1.075e-04
3.241e-01,0.000e+00,1.717e-04
3.488e-01,0.000e+00,1.755e-04
3.754e-01,0.000e+00,3.199e-04
4.040e-01,0.000e+00,4.312e-04
4.348e-01,0.000e+00,5.665e-04
4.680e-01,0.000e+00,5.178e-04
5.036e-01,0.000e+00,6.915e-04
5.421e-01,0.000e+00,1.005e-03
5.834e-01,0.000e+00,1.131e-03
6.279e-01,0.000e+00,1.590e-03
6.758e-01,0.000e+00,1.512e-03
7.273e-01,0.000e+00,2.094e-03
7.827e-01,0.000e+00,2.366e-03
8.424e-01,0.000e+00,2.381e-03
9.067e-01,0.000e+00,2.984e-03
9.758e-01,0.000e+00,3.630e-03
1.050e+00,0.000e+00,4.228e-03
1.130e+00,0.000e+00,4.245e-03
1.216e+00,0.000e+00,4.965e-03
1.309e+00,0.000e+00,5.524e-03
1.409e+00,0.000e+00,6.006e-03
1.517e+00,0.000e+00,6.310e-03
1.632e+00,0.000e+00,7.653e-03
1.757e+00,0.000e+00,7.251e-03
1.891e+00,0.000e+00,8.380e-03
2.035e+00,0.000e+00,8.830e-03
2.190e+00,0.000e+00,9.172e-03
2.357e+00,0.000e+00,9.786e-03
2.537e+00,0.000e+00,1.012e-02
2.730e+00,0.000e+00,1.028e-02
2.938e+00,0.000e+00,1.056e-02
3.162e+00,0.000e+00,1.102e-02
3.403e+00,0.000e+00,1.116e-02
3.663e+00,0.000e+00,1.138e-02
3.942e+00,0.000e+00,1.165e-02
4.243e+00,0.000e+00,1.107e-02
4.566e+00,0.000e+00,1.105e-02
4.915e+00,0.000e+00,1.119e-02
5.289e+00,0.000e+00,1.071e-02
5.693e+00,0.000e+00,1.064e-02
6.127e+00,0.000e+00,1.041e-02
6.594e+00,0.000e+00,9.994e-03
7.097e+00,0.000e+00,9.554e-03
7.638e+00,0.000e+00,9.735e-03
8.220e+00,0.000e+00,9.255e-03
8.847e+00,0.000e+00,8.398e-03
9.522e+00,0.000e+00,7.805e-03
1.025e+01,0.000e+00,7.939e-03
1.103e+01,0.000e+00,7.394e-03
1.187e+01,0.000e+00,6.766e-03
1.278e+01,0.000e+00,6.988e-03
1.375e+01,0.000e+00,5.661e-03
1.480e+01,0.000e+00,5.252e-03
1.593e+01,0.000e+00,4.984e-03
1.714e+01,0.000e+00,4.945e-03
1.845e+01,0.000e+00,4.647e-03
1.986e+01,0.000e+00,4.259e-03
2.137e+01,0.000e+00,4.047e-03
2.300e+01,0.000e+00,3.423e-03
2.475e+01,0.000e+00,3.278e-03
2.664e+01,0.000e+00,3.044e-03
2.867e+01,0.000e+00,2.300e-03
3.086e+01,0.000e+00,2.477e-03
3.321e+01,0.000e+00,2.416e-03
3.574e+01,0.000e+00,2.001e-03
3.847e+01,0.000e+00,1.748e-03
4.140e+01,0.000e+00,1.549e-03
4.456e+01,0.000e+00,1.708e-03
4.796e+01,0.000e+00,1.268e-03
5.161e+01,0.000e+00,1.240e-03
5.555e+01,0.000e+00,1.160e-03
5.979e+01,0.000e+00,9.089e-04
6.434e+01,0.000e+00,8.429e-04
6.925e+01,0.000e+00,7.029e-04
7.453e+01,0.000e+00,6.520e-04
8.021e+01,0.000e+00,6.184e-04
8.633e+01,0.000e+00,4.898e-04
9.291e+01,0.000e+00,4.774e-04
1.000e+02,0.000e+00,4.169e-04
