# Input file: /rundisk/lessa/pp2chi0chi0_minimalH_root/Events/run_09/ddmH_1500_734_634_delphes_events.root
# Number of events: 25000
# ctau(m),eff(low-ET),eff(high-ET)
1.000e-01,0.000e+00,8.948e-06
1.076e-01,0.000e+00,9.446e-06
1.158e-01,0.000e+00,8.948e-06
1.247e-01,0.000e+00,8.948e-06
1.342e-01,0.000e+00,8.948e-06
1.444e-01,0.000e+00,9.904e-06
1.554e-01,0.000e+00,9.479e-06
1.673e-01,0.000e+00,1.754e-05
1.800e-01,0.000e+00,1.533e-05
1.937e-01,0.000e+00,1.271e-05
2.085e-01,0.000e+00,2.669e-05
2.244e-01,0.000e+00,4.324e-05
2.415e-01,0.000e+00,5.705e-05
2.600e-01,0.000e+00,4.631e-05
2.798e-01,0.000e+00,8.327e-05
3.011e-01,0.000e+00,8.471e-05
3.241e-01,0.000e+00,1.354e-04
3.488e-01,0.000e+00,1.553e-04
3.754e-01,0.000e+00,1.549e-04
4.040e-01,0.000e+00,2.466e-04
4.348e-01,0.000e+00,3.484e-04
4.680e-01,0.000e+00,3.336e-04
5.036e-01,0.000e+00,3.928e-04
5.421e-01,0.000e+00,5.031e-04
5.834e-01,0.000e+00,6.664e-04
6.279e-01,0.000e+00,7.608e-04
6.758e-01,0.000e+00,9.465e-04
7.273e-01,0.000e+00,1.001e-03
7.827e-01,0.000e+00,1.271e-03
8.424e-01,0.000e+00,1.138e-03
9.067e-01,0.000e+00,1.500e-03
9.758e-01,0.000e+00,1.665e-03
1.050e+00,0.000e+00,1.837e-03
1.130e+00,0.000e+00,2.006e-03
1.216e+00,0.000e+00,2.057e-03
1.309e+00,0.000e+00,2.261e-03
1.409e+00,0.000e+00,2.394e-03
1.517e+00,0.000e+00,2.528e-03
1.632e+00,0.000e+00,2.707e-03
1.757e+00,0.000e+00,2.736e-03
1.891e+00,0.000e+00,2.934e-03
2.035e+00,0.000e+00,2.801e-03
2.190e+00,0.000e+00,2.643e-03
2.357e+00,0.000e+00,2.992e-03
2.537e+00,0.000e+00,2.766e-03
2.730e+00,0.000e+00,2.749e-03
2.938e+00,0.000e+00,2.874e-03
3.162e+00,0.000e+00,2.749e-03
3.403e+00,0.000e+00,2.619e-03
3.663e+00,0.000e+00,2.420e-03
3.942e+00,0.000e+00,2.490e-03
4.243e+00,0.000e+00,2.319e-03
4.566e+00,0.000e+00,2.121e-03
4.915e+00,0.000e+00,2.015e-03
5.289e+00,0.000e+00,1.935e-03
5.693e+00,0.000e+00,1.912e-03
6.127e+00,0.000e+00,1.604e-03
6.594e+00,0.000e+00,1.728e-03
7.097e+00,0.000e+00,1.516e-03
7.638e+00,0.000e+00,1.471e-03
8.220e+00,0.000e+00,1.164e-03
8.847e+00,0.000e+00,1.251e-03
9.522e+00,0.000e+00,1.033e-03
1.025e+01,0.000e+00,1.014e-03
1.103e+01,0.000e+00,9.132e-04
1.187e+01,0.000e+00,8.235e-04
1.278e+01,0.000e+00,7.595e-04
1.375e+01,0.000e+00,5.932e-04
1.480e+01,0.000e+00,5.905e-04
1.593e+01,0.000e+00,4.889e-04
1.714e+01,0.000e+00,6.069e-04
1.845e+01,0.000e+00,4.303e-04
1.986e+01,0.000e+00,4.003e-04
2.137e+01,0.000e+00,2.891e-04
2.300e+01,0.000e+00,2.927e-04
2.475e+01,0.000e+00,3.162e-04
2.664e+01,0.000e+00,2.841e-04
2.867e+01,0.000e+00,2.055e-04
3.086e+01,0.000e+00,1.876e-04
3.321e+01,0.000e+00,1.425e-04
3.574e+01,0.000e+00,1.364e-04
3.847e+01,0.000e+00,1.950e-04
4.140e+01,0.000e+00,1.425e-04
4.456e+01,0.000e+00,1.399e-04
4.796e+01,0.000e+00,9.464e-05
5.161e+01,0.000e+00,9.748e-05
5.555e+01,0.000e+00,8.534e-05
5.979e+01,0.000e+00,6.295e-05
6.434e+01,0.000e+00,4.922e-05
6.925e+01,0.000e+00,5.351e-05
7.453e+01,0.000e+00,5.371e-05
8.021e+01,0.000e+00,2.501e-05
8.633e+01,0.000e+00,2.568e-05
9.291e+01,0.000e+00,4.189e-05
1.000e+02,0.000e+00,3.937e-05
