bin_center,normalized_count,error,bin_left_edge,bin_right_edge
2.0,0.9945712816316791,0.010998774710397022,0.0,4.0
6.0,0.0,0.0,4.0,8.0
10.0,0.0,0.0,8.0,12.0
14.0,0.0,0.0,12.0,16.0
18.0,0.0,0.0,16.0,20.0
22.0,0.000636561001091669,0.0002205195174148248,20.0,24.0
26.0,0.0005760224884828697,0.00022053282903558943,24.0,28.0
30.0,0.0004626865224099412,0.0001789454526337232,28.0,32.0
34.0,0.00042494334343263536,0.00018143292351909264,32.0,36.0
38.0,0.00022005882031005719,0.0001103445879106319,36.0,40.0
42.0,0.00027221464504058416,0.00012763035754902722,40.0,44.0
46.0,0.0005273863598181907,0.0001904566971480567,44.0,48.0
50.0,0.00030485104527226453,0.00015417659682931187,48.0,52.0
54.0,0.00018466205251657474,0.00010996903846682061,52.0,56.0
58.0,0.0003692481007188752,0.00014257605513970853,56.0,60.0
62.0,0.00023856488440551367,0.00012073721043146104,60.0,64.0
66.0,6.972200874346943e-05,6.972200874351898e-05,64.0,68.0
70.0,0.00033949077053569126,0.00014275866955614853,68.0,72.0
74.0,0.0002097514942590908,0.0001218351642915107,72.0,76.0
78.0,0.0001815318949024586,9.287733456511464e-05,76.0,80.0
82.0,0.0,0.0,80.0,84.0
86.0,0.00010165616262592788,7.188428992045944e-05,84.0,88.0
90.0,0.0003093667737529518,0.0001399792618361301,88.0,92.0
94.0,0.0,0.0,92.0,96.0
98.0,0.0,0.0,96.0,100.0
