# ms,m1,m0,ctau,eff
2.000e+03,9.798e+02,9.298e+02,4.000e+00,1.737e-03
2.000e+03,9.798e+02,9.099e+02,4.000e+00,7.632e-03
2.000e+03,9.798e+02,8.897e+02,4.000e+00,1.253e-02
2.000e+03,9.798e+02,8.698e+02,4.000e+00,1.289e-02
2.000e+03,9.798e+02,8.398e+02,4.000e+00,8.421e-03
5.000e+02,2.449e+02,1.949e+02,4.000e+00,7.087e-04
5.000e+02,2.449e+02,1.751e+02,4.000e+00,4.996e-03
5.000e+02,2.449e+02,1.551e+02,4.000e+00,7.228e-03
5.000e+02,2.449e+02,1.348e+02,4.000e+00,8.894e-03
5.000e+02,2.449e+02,1.049e+02,4.000e+00,6.130e-03
2.000e+03,9.798e+02,8.898e+02,5.308e-01,6.515e-06
2.000e+03,9.798e+02,8.898e+02,1.031e+00,2.997e-04
2.000e+03,9.798e+02,8.898e+02,1.511e+00,2.410e-03
2.000e+03,9.798e+02,8.898e+02,2.000e+00,4.697e-03
2.000e+03,9.798e+02,8.898e+02,3.000e+00,9.270e-03
2.000e+03,9.798e+02,8.898e+02,4.000e+00,1.250e-02
2.000e+03,9.798e+02,8.898e+02,5.000e+00,1.414e-02
2.000e+03,9.798e+02,8.898e+02,7.000e+00,1.050e-02
2.000e+03,9.798e+02,8.898e+02,9.000e+00,8.801e-03
2.000e+03,9.798e+02,8.898e+02,1.196e+01,6.866e-03
2.000e+03,9.798e+02,8.898e+02,1.496e+01,5.283e-03
2.000e+03,9.798e+02,8.898e+02,1.996e+01,3.349e-03
5.000e+02,2.449e+02,1.549e+02,5.208e-01,8.159e-05
5.000e+02,2.449e+02,1.549e+02,1.011e+00,7.865e-04
5.000e+02,2.449e+02,1.549e+02,1.501e+00,3.078e-03
5.000e+02,2.449e+02,1.549e+02,2.031e+00,4.693e-03
5.000e+02,2.449e+02,1.549e+02,2.980e+00,6.397e-03
5.000e+02,2.449e+02,1.549e+02,4.000e+00,7.190e-03
5.000e+02,2.449e+02,1.549e+02,5.011e+00,6.397e-03
5.000e+02,2.449e+02,1.549e+02,7.011e+00,7.190e-03
5.000e+02,2.449e+02,1.549e+02,9.011e+00,5.985e-03
5.000e+02,2.449e+02,1.549e+02,1.200e+01,4.194e-03
5.000e+02,2.449e+02,1.549e+02,1.498e+01,2.490e-03
5.000e+02,2.449e+02,1.549e+02,2.000e+01,1.697e-03
