# ctau,m1,m0,ms,eff,efferror
1.000e-01,2.440e+02,1.940e+02,5.000e+02,0.000e+00,0.000e+00
1.166e-01,2.440e+02,1.940e+02,5.000e+02,0.000e+00,0.000e+00
1.359e-01,2.440e+02,1.940e+02,5.000e+02,0.000e+00,0.000e+00
1.585e-01,2.440e+02,1.940e+02,5.000e+02,0.000e+00,0.000e+00
1.848e-01,2.440e+02,1.940e+02,5.000e+02,0.000e+00,0.000e+00
2.154e-01,2.440e+02,1.940e+02,5.000e+02,1.000e-05,1.000e-05
2.512e-01,2.440e+02,1.940e+02,5.000e+02,2.000e-05,1.414e-05
2.929e-01,2.440e+02,1.940e+02,5.000e+02,5.000e-05,2.236e-05
3.415e-01,2.440e+02,1.940e+02,5.000e+02,2.000e-05,1.414e-05
3.981e-01,2.440e+02,1.940e+02,5.000e+02,1.300e-04,3.606e-05
4.642e-01,2.440e+02,1.940e+02,5.000e+02,1.300e-04,3.606e-05
5.412e-01,2.440e+02,1.940e+02,5.000e+02,1.900e-04,4.359e-05
6.310e-01,2.440e+02,1.940e+02,5.000e+02,3.100e-04,5.568e-05
7.356e-01,2.440e+02,1.940e+02,5.000e+02,5.400e-04,7.348e-05
8.577e-01,2.440e+02,1.940e+02,5.000e+02,5.600e-04,7.483e-05
1.000e+00,2.440e+02,1.940e+02,5.000e+02,9.000e-04,9.487e-05
1.166e+00,2.440e+02,1.940e+02,5.000e+02,1.290e-03,1.136e-04
1.359e+00,2.440e+02,1.940e+02,5.000e+02,1.630e-03,1.277e-04
1.585e+00,2.440e+02,1.940e+02,5.000e+02,2.170e-03,1.473e-04
1.848e+00,2.440e+02,1.940e+02,5.000e+02,2.330e-03,1.526e-04
2.154e+00,2.440e+02,1.940e+02,5.000e+02,2.960e-03,1.720e-04
2.512e+00,2.440e+02,1.940e+02,5.000e+02,3.290e-03,1.814e-04
2.929e+00,2.440e+02,1.940e+02,5.000e+02,4.170e-03,2.042e-04
3.415e+00,2.440e+02,1.940e+02,5.000e+02,4.200e-03,2.049e-04
3.981e+00,2.440e+02,1.940e+02,5.000e+02,3.840e-03,1.960e-04
4.642e+00,2.440e+02,1.940e+02,5.000e+02,3.830e-03,1.957e-04
5.412e+00,2.440e+02,1.940e+02,5.000e+02,3.790e-03,1.947e-04
6.310e+00,2.440e+02,1.940e+02,5.000e+02,3.520e-03,1.876e-04
7.356e+00,2.440e+02,1.940e+02,5.000e+02,2.980e-03,1.726e-04
8.577e+00,2.440e+02,1.940e+02,5.000e+02,2.520e-03,1.587e-04
1.000e+01,2.440e+02,1.940e+02,5.000e+02,2.190e-03,1.480e-04
1.000e-01,9.790e+02,9.290e+02,2.000e+03,0.000e+00,0.000e+00
1.166e-01,9.790e+02,9.290e+02,2.000e+03,0.000e+00,0.000e+00
1.359e-01,9.790e+02,9.290e+02,2.000e+03,0.000e+00,0.000e+00
1.585e-01,9.790e+02,9.290e+02,2.000e+03,0.000e+00,0.000e+00
1.848e-01,9.790e+02,9.290e+02,2.000e+03,0.000e+00,0.000e+00
2.154e-01,9.790e+02,9.290e+02,2.000e+03,0.000e+00,0.000e+00
2.512e-01,9.790e+02,9.290e+02,2.000e+03,0.000e+00,0.000e+00
2.929e-01,9.790e+02,9.290e+02,2.000e+03,0.000e+00,0.000e+00
3.415e-01,9.790e+02,9.290e+02,2.000e+03,0.000e+00,0.000e+00
3.981e-01,9.790e+02,9.290e+02,2.000e+03,1.000e-05,1.000e-05
4.642e-01,9.790e+02,9.290e+02,2.000e+03,2.000e-05,1.414e-05
5.412e-01,9.790e+02,9.290e+02,2.000e+03,4.000e-05,2.000e-05
6.310e-01,9.790e+02,9.290e+02,2.000e+03,8.000e-05,2.828e-05
7.356e-01,9.790e+02,9.290e+02,2.000e+03,2.000e-04,4.472e-05
8.577e-01,9.790e+02,9.290e+02,2.000e+03,4.700e-04,6.856e-05
1.000e+00,9.790e+02,9.290e+02,2.000e+03,1.010e-03,1.005e-04
1.166e+00,9.790e+02,9.290e+02,2.000e+03,1.990e-03,1.411e-04
1.359e+00,9.790e+02,9.290e+02,2.000e+03,2.610e-03,1.616e-04
1.585e+00,9.790e+02,9.290e+02,2.000e+03,4.310e-03,2.076e-04
1.848e+00,9.790e+02,9.290e+02,2.000e+03,5.640e-03,2.375e-04
2.154e+00,9.790e+02,9.290e+02,2.000e+03,8.180e-03,2.860e-04
2.512e+00,9.790e+02,9.290e+02,2.000e+03,9.480e-03,3.079e-04
2.929e+00,9.790e+02,9.290e+02,2.000e+03,9.850e-03,3.138e-04
3.415e+00,9.790e+02,9.290e+02,2.000e+03,1.083e-02,3.291e-04
3.981e+00,9.790e+02,9.290e+02,2.000e+03,1.082e-02,3.289e-04
4.642e+00,9.790e+02,9.290e+02,2.000e+03,1.099e-02,3.315e-04
5.412e+00,9.790e+02,9.290e+02,2.000e+03,1.052e-02,3.243e-04
6.310e+00,9.790e+02,9.290e+02,2.000e+03,9.550e-03,3.090e-04
7.356e+00,9.790e+02,9.290e+02,2.000e+03,8.530e-03,2.921e-04
8.577e+00,9.790e+02,9.290e+02,2.000e+03,7.690e-03,2.773e-04
1.000e+01,9.790e+02,9.290e+02,2.000e+03,6.340e-03,2.518e-04
1.000e-01,2.440e+02,1.740e+02,5.000e+02,0.000e+00,0.000e+00
1.166e-01,2.440e+02,1.740e+02,5.000e+02,0.000e+00,0.000e+00
1.359e-01,2.440e+02,1.740e+02,5.000e+02,0.000e+00,0.000e+00
1.585e-01,2.440e+02,1.740e+02,5.000e+02,0.000e+00,0.000e+00
1.848e-01,2.440e+02,1.740e+02,5.000e+02,0.000e+00,0.000e+00
2.154e-01,2.440e+02,1.740e+02,5.000e+02,0.000e+00,0.000e+00
2.512e-01,2.440e+02,1.740e+02,5.000e+02,6.000e-05,2.449e-05
2.929e-01,2.440e+02,1.740e+02,5.000e+02,5.000e-05,2.236e-05
3.415e-01,2.440e+02,1.740e+02,5.000e+02,7.000e-05,2.646e-05
3.981e-01,2.440e+02,1.740e+02,5.000e+02,8.000e-05,2.828e-05
4.642e-01,2.440e+02,1.740e+02,5.000e+02,3.300e-04,5.745e-05
5.412e-01,2.440e+02,1.740e+02,5.000e+02,4.900e-04,7.000e-05
6.310e-01,2.440e+02,1.740e+02,5.000e+02,5.700e-04,7.550e-05
7.356e-01,2.440e+02,1.740e+02,5.000e+02,8.900e-04,9.434e-05
8.577e-01,2.440e+02,1.740e+02,5.000e+02,1.270e-03,1.127e-04
1.000e+00,2.440e+02,1.740e+02,5.000e+02,1.850e-03,1.360e-04
1.166e+00,2.440e+02,1.740e+02,5.000e+02,2.750e-03,1.658e-04
1.359e+00,2.440e+02,1.740e+02,5.000e+02,3.670e-03,1.916e-04
1.585e+00,2.440e+02,1.740e+02,5.000e+02,5.020e-03,2.241e-04
1.848e+00,2.440e+02,1.740e+02,5.000e+02,5.950e-03,2.439e-04
2.154e+00,2.440e+02,1.740e+02,5.000e+02,7.510e-03,2.740e-04
2.512e+00,2.440e+02,1.740e+02,5.000e+02,8.230e-03,2.869e-04
2.929e+00,2.440e+02,1.740e+02,5.000e+02,9.460e-03,3.076e-04
3.415e+00,2.440e+02,1.740e+02,5.000e+02,9.890e-03,3.145e-04
3.981e+00,2.440e+02,1.740e+02,5.000e+02,1.079e-02,3.285e-04
4.642e+00,2.440e+02,1.740e+02,5.000e+02,9.910e-03,3.148e-04
5.412e+00,2.440e+02,1.740e+02,5.000e+02,9.330e-03,3.055e-04
6.310e+00,2.440e+02,1.740e+02,5.000e+02,8.230e-03,2.869e-04
7.356e+00,2.440e+02,1.740e+02,5.000e+02,7.800e-03,2.793e-04
8.577e+00,2.440e+02,1.740e+02,5.000e+02,6.310e-03,2.512e-04
1.000e+01,2.440e+02,1.740e+02,5.000e+02,5.160e-03,2.272e-04
1.000e-01,9.790e+02,9.090e+02,2.000e+03,0.000e+00,0.000e+00
1.166e-01,9.790e+02,9.090e+02,2.000e+03,0.000e+00,0.000e+00
1.359e-01,9.790e+02,9.090e+02,2.000e+03,0.000e+00,0.000e+00
1.585e-01,9.790e+02,9.090e+02,2.000e+03,0.000e+00,0.000e+00
1.848e-01,9.790e+02,9.090e+02,2.000e+03,0.000e+00,0.000e+00
2.154e-01,9.790e+02,9.090e+02,2.000e+03,0.000e+00,0.000e+00
