# m1,m0,ms,tau,lambdauv,chxx10,ychi1,ychi10,sina,eff,efferror
1.244e+02,7.437e+01,2.500e+02,3.272e-09,1.084e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,2.286e-02,5.922e-04
1.244e+02,7.437e+01,2.500e+02,1.636e-08,2.424e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.758e-02,8.575e-04
1.244e+02,7.437e+01,2.500e+02,3.272e-08,3.428e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.031e-02,7.881e-04
1.244e+02,7.437e+01,2.500e+02,6.544e-08,4.848e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,2.852e-02,6.622e-04
1.244e+02,7.437e+01,2.500e+02,1.309e-07,6.856e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.681e-02,5.086e-04
1.225e+02,7.247e+01,2.500e+02,3.260e-09,1.075e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.390e-02,4.601e-04
1.225e+02,7.247e+01,2.500e+02,1.630e-08,2.405e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.348e-02,8.151e-04
1.225e+02,7.247e+01,2.500e+02,3.260e-08,3.401e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,3.980e-02,7.788e-04
1.225e+02,7.247e+01,2.500e+02,6.521e-08,4.810e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,2.822e-02,6.585e-04
4.899e+02,2.899e+02,1.000e+03,1.334e-07,3.770e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.205e-02,6.794e-04
9.950e+02,7.950e+02,2.000e+03,3.336e-09,7.276e+09,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.968e-02,6.823e-04
9.950e+02,7.950e+02,2.000e+03,1.668e-08,1.627e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.619e-01,1.232e-03
9.950e+02,7.950e+02,2.000e+03,3.336e-08,2.301e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.321e-01,1.114e-03
9.950e+02,7.950e+02,2.000e+03,6.671e-08,3.254e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,8.903e-02,9.120e-04
9.950e+02,7.950e+02,2.000e+03,1.334e-07,4.602e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,5.154e-02,6.949e-04
9.798e+02,7.798e+02,2.000e+03,3.335e-09,7.256e+09,1.000e-01,1.000e+00,1.000e+00,2.000e-01,4.677e-02,6.607e-04
9.798e+02,7.798e+02,2.000e+03,1.668e-08,1.623e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.615e-01,1.229e-03
9.798e+02,7.798e+02,2.000e+03,3.335e-08,2.295e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.333e-01,1.116e-03
9.798e+02,7.798e+02,2.000e+03,6.671e-08,3.245e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,8.677e-02,9.006e-04
1.225e+02,7.247e+01,2.500e+02,1.304e-07,6.802e+06,1.000e-01,1.000e+00,1.000e+00,2.000e-01,1.794e-02,5.233e-04
9.798e+02,7.798e+02,2.000e+03,1.334e-07,4.589e+10,1.000e-01,1.000e+00,1.000e+00,2.000e-01,5.100e-02,6.901e-04
